naam; oprichtingsdatum; plaats
"Door Eendragt t'zaam verbonden";1837-01-17;Breda
"Door Eendragt t'zaam verbonden";1843-01-28;Den Haag
"Harmonie en Vriendschap";1847;Middelburg
"Voorzorg en Genoegen";1849;Amsterdam
"Door Koster's fakkel voorgelicht is deze vriendenkring gesticht";1849-09-02;Rotterdam
"Boekdrukkunst, de grondzuil der verlichting";1849-09-16;Arnhem
"Door Eendragt t'zaam verbonden";1849-10-07;'s-Hertogenbosch
"Nut en Genoegen";1851;Utrecht
"Tot Nut en Genoegen";1851-09-21;Haarlem
"Heilig is de Broederband, die ons leidt aan Kosters hand";1852-04-14;Tiel
"Ter eere van Koster";1854-01-10;Goes
"Laurens Jansz. Koster";1854-12-04;Leiden
"Nut en Voorzorg";1856-08-24;Gorinchem
"Hoe schoon is het broeders vereenigd te zien";1857-01-01;Rotterdam
"De Nederlandsche Drukpers";1857-02-23;Amsterdam
"Lourens Coster";1860-09-01;Sneek
"Broederhulp";1862;Nijmegen
